participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.treatment,session.config.participation_fee,consent_start2_copy.1.player.id_in_group,consent_start2_copy.1.player.payoff,consent_start2_copy.1.group.id_in_subsession,consent_start2_copy.1.subsession.round_number,ultimatum_customer_vignette.1.player.id_in_group,ultimatum_customer_vignette.1.player.valid_code,ultimatum_customer_vignette.1.player.payoff,ultimatum_customer_vignette.1.group.id_in_subsession,ultimatum_customer_vignette.1.group.amount_offered,ultimatum_customer_vignette.1.group.offer_accepted,ultimatum_customer_vignette.1.subsession.round_number,ultimatum_banker_vignette.1.player.id_in_group,ultimatum_banker_vignette.1.player.valid_code,ultimatum_banker_vignette.1.player.payoff,ultimatum_banker_vignette.1.group.id_in_subsession,ultimatum_banker_vignette.1.group.amount_offered,ultimatum_banker_vignette.1.group.offer_accepted,ultimatum_banker_vignette.1.subsession.round_number
1,6xsjuoim,,0,3,10,consent_start2_copy,1,Proceed,10.41.215.197,2017-08-17 00:11:51.269523+00:00,0,1,,,0,$0.25,cmvn8znk,,,,,,1,0.01,direct_response,$0.25,1,0,1,1,,,,,,,,1,,0,1,,,1
2,smwqm8h9,,0,0,10,,,,,,0,0,,,0,$0.25,cmvn8znk,,,,,,1,0.01,direct_response,$0.25,2,0,1,1,,,,,,,,2,,0,1,,,1
1,6aqdcx9o,,0,3,10,consent_start2_copy,1,Proceed,10.45.50.47,2017-08-17 01:05:27.374920+00:00,0,1,,,0,$0.25,psdrqnq2,,,,,,1,0.01,direct_response,$0.25,1,0,1,1,,,,,,,,1,,0,1,,,1
2,mpc5affa,,0,3,10,consent_start2_copy,1,Proceed,10.45.50.47,2017-08-17 01:05:49.724837+00:00,0,1,,,0,$0.25,psdrqnq2,,,,,,1,0.01,direct_response,$0.25,2,0,1,1,,,,,,,,2,,0,1,,,1
1,f2lie4fd,,0,4,10,ultimatum_customer_vignette,1,WaitToStart,10.45.50.47,2017-08-17 01:05:38.679024+00:00,0,1,,,0,$0.25,ffyxe4j6,,,,,,1,0.01,direct_response,$0.25,1,0,1,1,1,,0,1,,,1,,,,,,,
2,gmm6gurb,,0,0,10,,,,,,0,0,,,0,$0.25,ffyxe4j6,,,,,,1,0.01,direct_response,$0.25,2,0,1,1,2,,0,1,,,1,,,,,,,
1,jrvc83sa,,0,11,10,ultimatum_banker_vignette,1,Validation,10.71.208.122,2017-08-17 01:09:06.955694+00:00,0,1,A2OIGST8UL7HJP,3NC5L260MP1PWEYBD0ECAT4XNVDOF4,0,$0.25,dd85lvth,,,3E6L1VR4XW1WLOUDN2NH49MLGZ0F6X,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,0.01,direct_response,$0.25,1,0,1,1,,,,,,,,2,8686383,0,12,50,0,1
2,603x51nb,,0,10,10,ultimatum_banker_vignette,1,Validation,10.41.203.70,2017-08-17 01:09:09.669131+00:00,0,1,A2OWFD7J4MRGKM,30BUDKLTXEABIQSXDAY7J5J6UZTE57,5,$0.30,dd85lvth,,,3E6L1VR4XW1WLOUDN2NH49MLGZ0F6X,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,0.01,direct_response,$0.25,2,0,1,1,,,,,,,,1,,5,15,5,1,1
3,pxsgetgp,,0,11,10,ultimatum_banker_vignette,1,Validation,10.154.148.197,2017-08-17 01:09:10.948315+00:00,0,1,A2WGW5Y3ZFBDEC,3PXX5PX6LYDAHTSUYFNYQ8T7JGHBAA,0,$0.25,dd85lvth,,,3E6L1VR4XW1WLOUDN2NH49MLGZ0F6X,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,0.01,direct_response,$0.25,3,0,1,1,,,,,,,,1,8997104,0,17,50,0,1
4,d8dlmjju,,0,9,10,ultimatum_banker_vignette,1,Results,10.179.55.98,2017-08-17 01:09:12.073513+00:00,0,1,ACI1OFQTEMUV0,3AMYWKA6YC1TDL50C7B8GNRKUWA6OJ,93,$1.18,dd85lvth,,,3E6L1VR4XW1WLOUDN2NH49MLGZ0F6X,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,0.01,direct_response,$0.25,4,0,1,1,,,,,,,,2,,93,14,7,1,1
5,9uz10eu3,,0,11,10,ultimatum_banker_vignette,1,Validation,10.109.163.176,2017-08-17 01:09:19.884718+00:00,0,1,A3L2UB07EZJAMD,3M68NM076IMWAYXG4ZSCAIWP5JU6RS,50,$0.75,dd85lvth,,,3E6L1VR4XW1WLOUDN2NH49MLGZ0F6X,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,0.01,direct_response,$0.25,5,0,1,1,,,,,,,,1,7179020,50,6,50,1,1
6,8d7tjgd9,,0,11,10,ultimatum_banker_vignette,1,Validation,10.231.231.232,2017-08-17 01:09:19.541852+00:00,0,1,A30MP4LXV4MIFD,3P1L2B7AD24BW687ZBHA569HKRZLO6,0,$0.25,dd85lvth,,,3E6L1VR4XW1WLOUDN2NH49MLGZ0F6X,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,0.01,direct_response,$0.25,6,0,1,1,,,,,,,,2,2999178,0,2,20,0,1
7,1unswzzv,,0,9,10,ultimatum_banker_vignette,1,Results,10.150.98.212,2017-08-17 01:09:19.896521+00:00,0,1,A5ET25WTBJC0J,3M68NM076IMWAYXG4ZSCAIWP5JUR6D,18,$0.43,dd85lvth,,,3E6L1VR4XW1WLOUDN2NH49MLGZ0F6X,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,0.01,direct_response,$0.25,7,0,1,1,,,,,,,,1,,18,3,18,1,1
8,8c1fk5ei,,0,11,10,ultimatum_banker_vignette,1,Validation,10.69.198.55,2017-08-17 01:09:22.612335+00:00,0,1,A27W025UEXS1G0,3B1NLC6UG0BDVE673KX9HE9ZYF9GPC,30,$0.55,dd85lvth,,,3E6L1VR4XW1WLOUDN2NH49MLGZ0F6X,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,0.01,direct_response,$0.25,8,0,1,1,,,,,,,,1,4719165,30,7,30,1,1
9,z7rsvnv1,,0,11,10,ultimatum_banker_vignette,1,Validation,10.150.98.212,2017-08-17 01:09:23.389419+00:00,0,1,A3IR7DFEKLLLO,3WT783CTPCWYA8PSITJPW3JVJJ2BCC,0,$0.25,dd85lvth,,,3E6L1VR4XW1WLOUDN2NH49MLGZ0F6X,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0,0.01,direct_response,$0.25,9,0,1,1,,,,,,,,1,5293075,0,2,20,0,1
