session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,time_stamp,seconds_on_page,subsession_pk,auto_submitted
1,1,6xsjuoim,1,consent_start2_copy,Consent,1502928713,2,1,False
1,1,6xsjuoim,2,consent_start2_copy,Introduction,1502930529,1816,1,True
2,1,6aqdcx9o,1,consent_start2_copy,Consent,1502931929,2,2,False
2,1,6aqdcx9o,2,consent_start2_copy,Introduction,1502931931,2,2,False
2,2,mpc5affa,1,consent_start2_copy,Consent,1502935558,3609,2,True
2,2,mpc5affa,2,consent_start2_copy,Introduction,1502937370,1812,2,True
3,1,f2lie4fd,1,consent_start2_copy,Consent,1502931941,3,3,False
3,1,f2lie4fd,2,consent_start2_copy,Introduction,1502931943,2,3,False
3,1,f2lie4fd,3,consent_start2_copy,Proceed,1502931944,1,3,False
4,1,jrvc83sa,1,consent_start2_copy,Consent,1502932590,444,4,False
4,1,jrvc83sa,2,consent_start2_copy,Introduction,1502932593,3,4,False
4,1,jrvc83sa,3,consent_start2_copy,Proceed,1502932599,6,4,False
4,1,jrvc83sa,4,ultimatum_banker_vignette,WaitToStart,1502932600,1,3,False
4,1,jrvc83sa,6,ultimatum_banker_vignette,WaitForProposer,1502932759,159,3,False
4,1,jrvc83sa,7,ultimatum_banker_vignette,Accept,1502932809,50,3,False
4,1,jrvc83sa,8,ultimatum_banker_vignette,ResultsWaitPage,1502932809,0,3,False
4,1,jrvc83sa,9,ultimatum_banker_vignette,Results,1502932884,75,3,False
4,1,jrvc83sa,10,ultimatum_banker_vignette,Validation,1502932888,4,3,False
4,2,603x51nb,1,consent_start2_copy,Consent,1502932679,530,4,False
4,2,603x51nb,2,consent_start2_copy,Introduction,1502932690,11,4,False
4,2,603x51nb,3,consent_start2_copy,Proceed,1502932700,10,4,False
4,2,603x51nb,4,ultimatum_banker_vignette,WaitToStart,1502932731,31,3,False
4,2,603x51nb,5,ultimatum_banker_vignette,Offer,1502932814,83,3,False
4,2,603x51nb,6,ultimatum_banker_vignette,WaitForProposer,1502932814,0,3,False
4,2,603x51nb,8,ultimatum_banker_vignette,ResultsWaitPage,1502932893,79,3,False
4,2,603x51nb,9,ultimatum_banker_vignette,Results,1502933118,225,3,False
4,3,pxsgetgp,1,consent_start2_copy,Consent,1502932171,21,4,False
4,3,pxsgetgp,2,consent_start2_copy,Introduction,1502932826,655,4,False
4,3,pxsgetgp,3,consent_start2_copy,Proceed,1502932831,5,4,False
4,3,pxsgetgp,4,ultimatum_banker_vignette,WaitToStart,1502932834,3,3,False
4,3,pxsgetgp,5,ultimatum_banker_vignette,Offer,1502932894,60,3,False
4,3,pxsgetgp,6,ultimatum_banker_vignette,WaitForProposer,1502932894,0,3,False
4,3,pxsgetgp,8,ultimatum_banker_vignette,ResultsWaitPage,1502932938,44,3,False
4,3,pxsgetgp,9,ultimatum_banker_vignette,Results,1502933056,118,3,False
4,3,pxsgetgp,10,ultimatum_banker_vignette,Validation,1502933061,5,3,False
4,4,d8dlmjju,1,consent_start2_copy,Consent,1502932167,15,4,False
4,4,d8dlmjju,2,consent_start2_copy,Introduction,1502932179,12,4,False
4,4,d8dlmjju,3,consent_start2_copy,Proceed,1502932673,494,4,False
4,4,d8dlmjju,4,ultimatum_banker_vignette,WaitToStart,1502932674,1,3,False
4,4,d8dlmjju,6,ultimatum_banker_vignette,WaitForProposer,1502932745,71,3,False
4,4,d8dlmjju,7,ultimatum_banker_vignette,Accept,1502932812,67,3,False
4,4,d8dlmjju,8,ultimatum_banker_vignette,ResultsWaitPage,1502932814,2,3,False
4,5,9uz10eu3,1,consent_start2_copy,Consent,1502932238,79,4,False
4,5,9uz10eu3,2,consent_start2_copy,Introduction,1502932251,13,4,False
4,5,9uz10eu3,3,consent_start2_copy,Proceed,1502932256,5,4,False
4,5,9uz10eu3,4,ultimatum_banker_vignette,WaitToStart,1502932270,14,3,False
4,5,9uz10eu3,5,ultimatum_banker_vignette,Offer,1502932319,49,3,False
4,5,9uz10eu3,6,ultimatum_banker_vignette,WaitForProposer,1502932319,0,3,False
4,5,9uz10eu3,8,ultimatum_banker_vignette,ResultsWaitPage,1502932395,76,3,False
4,5,9uz10eu3,9,ultimatum_banker_vignette,Results,1502932507,112,3,False
4,5,9uz10eu3,10,ultimatum_banker_vignette,Validation,1502932512,5,3,False
4,6,8d7tjgd9,1,consent_start2_copy,Consent,1502932168,9,4,False
4,6,8d7tjgd9,2,consent_start2_copy,Introduction,1502932180,12,4,False
4,6,8d7tjgd9,3,consent_start2_copy,Proceed,1502932186,6,4,False
4,6,8d7tjgd9,4,ultimatum_banker_vignette,WaitToStart,1502932186,0,3,False
4,6,8d7tjgd9,6,ultimatum_banker_vignette,WaitForProposer,1502932207,21,3,False
4,6,8d7tjgd9,7,ultimatum_banker_vignette,Accept,1502932256,49,3,False
4,6,8d7tjgd9,8,ultimatum_banker_vignette,ResultsWaitPage,1502932257,1,3,False
4,6,8d7tjgd9,9,ultimatum_banker_vignette,Results,1502932340,83,3,False
4,6,8d7tjgd9,10,ultimatum_banker_vignette,Validation,1502932342,2,3,False
4,7,1unswzzv,1,consent_start2_copy,Consent,1502932177,18,4,False
4,7,1unswzzv,2,consent_start2_copy,Introduction,1502932184,7,4,False
4,7,1unswzzv,3,consent_start2_copy,Proceed,1502932196,12,4,False
4,7,1unswzzv,4,ultimatum_banker_vignette,WaitToStart,1502932218,22,3,False
4,7,1unswzzv,5,ultimatum_banker_vignette,Offer,1502932247,29,3,False
4,7,1unswzzv,6,ultimatum_banker_vignette,WaitForProposer,1502932247,0,3,False
4,7,1unswzzv,8,ultimatum_banker_vignette,ResultsWaitPage,1502932299,52,3,False
4,8,8c1fk5ei,1,consent_start2_copy,Consent,1502932270,108,4,False
4,8,8c1fk5ei,2,consent_start2_copy,Introduction,1502932287,17,4,False
4,8,8c1fk5ei,3,consent_start2_copy,Proceed,1502932295,8,4,False
4,8,8c1fk5ei,4,ultimatum_banker_vignette,WaitToStart,1502932296,1,3,False
4,8,8c1fk5ei,5,ultimatum_banker_vignette,Offer,1502932380,84,3,False
4,8,8c1fk5ei,6,ultimatum_banker_vignette,WaitForProposer,1502932381,1,3,False
4,8,8c1fk5ei,8,ultimatum_banker_vignette,ResultsWaitPage,1502932455,74,3,False
4,8,8c1fk5ei,9,ultimatum_banker_vignette,Results,1502932639,184,3,False
4,8,8c1fk5ei,10,ultimatum_banker_vignette,Validation,1502932646,7,3,False
4,9,z7rsvnv1,1,consent_start2_copy,Consent,1502932172,9,4,False
4,9,z7rsvnv1,2,consent_start2_copy,Introduction,1502932181,9,4,False
4,9,z7rsvnv1,3,consent_start2_copy,Proceed,1502932186,5,4,False
4,9,z7rsvnv1,4,ultimatum_banker_vignette,WaitToStart,1502932187,1,3,False
4,9,z7rsvnv1,5,ultimatum_banker_vignette,Offer,1502932207,20,3,False
4,9,z7rsvnv1,6,ultimatum_banker_vignette,WaitForProposer,1502932207,0,3,False
4,9,z7rsvnv1,8,ultimatum_banker_vignette,ResultsWaitPage,1502932257,50,3,False
4,9,z7rsvnv1,9,ultimatum_banker_vignette,Results,1502932320,63,3,False
4,9,z7rsvnv1,10,ultimatum_banker_vignette,Validation,1502932323,3,3,False
4,10,9ritgydn,1,consent_start2_copy,Consent,1502932208,12,4,False
4,10,9ritgydn,2,consent_start2_copy,Introduction,1502932217,9,4,False
4,10,9ritgydn,3,consent_start2_copy,Proceed,1502932228,11,4,False
4,10,9ritgydn,4,ultimatum_banker_vignette,WaitToStart,1502932229,1,3,False
4,10,9ritgydn,6,ultimatum_banker_vignette,WaitForProposer,1502932257,28,3,False
4,10,9ritgydn,7,ultimatum_banker_vignette,Accept,1502932308,51,3,False
4,10,9ritgydn,8,ultimatum_banker_vignette,ResultsWaitPage,1502932308,0,3,False
4,10,9ritgydn,9,ultimatum_banker_vignette,Results,1502932483,175,3,False
4,10,9ritgydn,10,ultimatum_banker_vignette,Validation,1502932488,5,3,False
4,11,e3zsluft,1,consent_start2_copy,Consent,1502932207,11,4,False
4,11,e3zsluft,2,consent_start2_copy,Introduction,1502932224,17,4,False
4,11,e3zsluft,3,consent_start2_copy,Proceed,1502932232,8,4,False
4,11,e3zsluft,4,ultimatum_banker_vignette,WaitToStart,1502932251,19,3,False
4,11,e3zsluft,5,ultimatum_banker_vignette,Offer,1502932291,40,3,False
4,11,e3zsluft,6,ultimatum_banker_vignette,WaitForProposer,1502932291,0,3,False
4,11,e3zsluft,8,ultimatum_banker_vignette,ResultsWaitPage,1502932347,56,3,False
4,11,e3zsluft,9,ultimatum_banker_vignette,Results,1502932469,122,3,False
4,11,e3zsluft,10,ultimatum_banker_vignette,Validation,1502932475,6,3,False
4,12,1gbh7vwc,1,consent_start2_copy,Consent,1502932203,6,4,False
4,12,1gbh7vwc,2,consent_start2_copy,Introduction,1502932218,15,4,False
4,12,1gbh7vwc,3,consent_start2_copy,Proceed,1502932223,5,4,False
4,12,1gbh7vwc,4,ultimatum_banker_vignette,WaitToStart,1502932229,6,3,False
4,12,1gbh7vwc,5,ultimatum_banker_vignette,Offer,1502932256,27,3,False
4,12,1gbh7vwc,6,ultimatum_banker_vignette,WaitForProposer,1502932257,1,3,False
4,12,1gbh7vwc,8,ultimatum_banker_vignette,ResultsWaitPage,1502932308,51,3,False
4,12,1gbh7vwc,9,ultimatum_banker_vignette,Results,1502932476,168,3,False
4,12,1gbh7vwc,10,ultimatum_banker_vignette,Validation,1502932478,2,3,False
4,13,0qi23kn9,1,consent_start2_copy,Consent,1502932207,5,4,False
4,13,0qi23kn9,2,consent_start2_copy,Introduction,1502932213,6,4,False
4,13,0qi23kn9,3,consent_start2_copy,Proceed,1502932218,5,4,False
4,13,0qi23kn9,4,ultimatum_banker_vignette,WaitToStart,1502932218,0,3,False
4,13,0qi23kn9,6,ultimatum_banker_vignette,WaitForProposer,1502932248,30,3,False
4,13,0qi23kn9,7,ultimatum_banker_vignette,Accept,1502932299,51,3,False
4,13,0qi23kn9,8,ultimatum_banker_vignette,ResultsWaitPage,1502932299,0,3,False
4,13,0qi23kn9,9,ultimatum_banker_vignette,Results,1502932422,123,3,False
4,14,siozwffa,1,consent_start2_copy,Consent,1502932226,13,4,False
4,14,siozwffa,2,consent_start2_copy,Introduction,1502934038,1812,4,True
4,15,m81h7bbc,1,consent_start2_copy,Consent,1502932242,25,4,False
4,15,m81h7bbc,2,consent_start2_copy,Introduction,1502932248,6,4,False
4,15,m81h7bbc,3,consent_start2_copy,Proceed,1502932250,2,4,False
4,15,m81h7bbc,4,ultimatum_banker_vignette,WaitToStart,1502932251,1,3,False
4,15,m81h7bbc,6,ultimatum_banker_vignette,WaitForProposer,1502932292,41,3,False
4,15,m81h7bbc,7,ultimatum_banker_vignette,Accept,1502932346,54,3,False
4,15,m81h7bbc,8,ultimatum_banker_vignette,ResultsWaitPage,1502932346,0,3,False
4,16,352d5w4k,1,consent_start2_copy,Consent,1502932231,11,4,False
4,16,352d5w4k,2,consent_start2_copy,Introduction,1502932255,24,4,False
4,16,352d5w4k,3,consent_start2_copy,Proceed,1502932270,15,4,False
4,16,352d5w4k,4,ultimatum_banker_vignette,WaitToStart,1502932270,0,3,False
4,16,352d5w4k,6,ultimatum_banker_vignette,WaitForProposer,1502932319,49,3,False
4,16,352d5w4k,7,ultimatum_banker_vignette,Accept,1502932394,75,3,False
4,16,352d5w4k,8,ultimatum_banker_vignette,ResultsWaitPage,1502932394,0,3,False
4,16,352d5w4k,9,ultimatum_banker_vignette,Results,1502932670,276,3,False
4,16,352d5w4k,10,ultimatum_banker_vignette,Validation,1502932679,9,3,False
4,17,al5elqh2,1,consent_start2_copy,Consent,1502935859,3613,4,True
4,17,al5elqh2,2,consent_start2_copy,Introduction,1502937671,1812,4,True
4,18,ccr3orod,1,consent_start2_copy,Consent,1502933227,968,4,False
4,18,ccr3orod,2,consent_start2_copy,Introduction,1502934633,1406,4,False
4,18,ccr3orod,3,consent_start2_copy,Proceed,1502934640,7,4,False
4,18,ccr3orod,4,ultimatum_banker_vignette,WaitToStart,1502934798,158,3,False
4,18,ccr3orod,5,ultimatum_banker_vignette,Offer,1502935101,303,3,True
4,18,ccr3orod,6,ultimatum_banker_vignette,WaitForProposer,1502935101,0,3,False
4,18,ccr3orod,8,ultimatum_banker_vignette,ResultsWaitPage,1502935274,173,3,False
4,19,p8nfq5nt,1,consent_start2_copy,Consent,1502932291,26,4,False
4,19,p8nfq5nt,2,consent_start2_copy,Introduction,1502932293,2,4,False
4,19,p8nfq5nt,3,consent_start2_copy,Proceed,1502932296,3,4,False
4,19,p8nfq5nt,4,ultimatum_banker_vignette,WaitToStart,1502932296,0,3,False
4,19,p8nfq5nt,6,ultimatum_banker_vignette,WaitForProposer,1502932381,85,3,False
4,19,p8nfq5nt,7,ultimatum_banker_vignette,Accept,1502932455,74,3,False
4,19,p8nfq5nt,8,ultimatum_banker_vignette,ResultsWaitPage,1502932455,0,3,False
4,20,4qe41ehc,1,consent_start2_copy,Consent,1502935884,3611,4,True
4,20,4qe41ehc,2,consent_start2_copy,Introduction,1502937695,1811,4,True
4,21,5jx39bcl,1,consent_start2_copy,Consent,1502932288,9,4,False
4,21,5jx39bcl,2,consent_start2_copy,Introduction,1502932295,7,4,False
4,21,5jx39bcl,3,consent_start2_copy,Proceed,1502932301,6,4,False
