session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,time_stamp,seconds_on_page,subsession_pk,auto_submitted
1,1,3fdy8hve,1,consent_start,Consent,1503013601,5,1,False
1,1,3fdy8hve,2,consent_start,Introduction,1503013615,14,1,False
1,1,3fdy8hve,3,ultimatum_t1,WaitToStart,1503013631,16,1,False
1,1,3fdy8hve,4,ultimatum_t1,Offer,1503013638,7,1,False
1,1,3fdy8hve,5,ultimatum_t1,WaitForProposer,1503013638,0,1,False
1,1,3fdy8hve,7,ultimatum_t1,ResultsWaitPage,1503013646,8,1,False
1,1,3fdy8hve,8,ultimatum_t1,Results,1503013664,18,1,False
1,2,9th0578r,1,consent_start,Consent,1503013624,4,1,False
1,2,9th0578r,2,consent_start,Introduction,1503013630,6,1,False
1,2,9th0578r,3,ultimatum_t1,WaitToStart,1503013631,1,1,False
1,2,9th0578r,5,ultimatum_t1,WaitForProposer,1503013638,7,1,False
1,2,9th0578r,6,ultimatum_t1,Accept,1503013645,7,1,False
1,2,9th0578r,7,ultimatum_t1,ResultsWaitPage,1503013646,1,1,False
1,2,9th0578r,8,ultimatum_t1,Results,1503013658,12,1,False
2,1,x2kg8vtl,1,consent_start2_copy,Consent,1503013678,3,1,False
2,1,x2kg8vtl,2,consent_start2_copy,Introduction,1503013683,5,1,False
2,1,x2kg8vtl,3,consent_start2_copy,Proceed,1503013685,2,1,False
2,1,x2kg8vtl,4,ultimatum_windfall_vignette,WaitToStart,1503013694,9,1,False
2,1,x2kg8vtl,5,ultimatum_windfall_vignette,Offer,1503013711,17,1,False
2,1,x2kg8vtl,6,ultimatum_windfall_vignette,WaitForProposer,1503013711,0,1,False
2,1,x2kg8vtl,8,ultimatum_windfall_vignette,ResultsWaitPage,1503013728,17,1,False
2,1,x2kg8vtl,9,ultimatum_windfall_vignette,Results,1503013747,19,1,False
2,2,f560sfy0,1,consent_start2_copy,Consent,1503013690,2,1,False
2,2,f560sfy0,2,consent_start2_copy,Introduction,1503013692,2,1,False
2,2,f560sfy0,3,consent_start2_copy,Proceed,1503013694,2,1,False
2,2,f560sfy0,4,ultimatum_windfall_vignette,WaitToStart,1503013694,0,1,False
2,2,f560sfy0,6,ultimatum_windfall_vignette,WaitForProposer,1503013711,17,1,False
2,2,f560sfy0,7,ultimatum_windfall_vignette,Accept,1503013727,16,1,False
