StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q42_2,Q42_3,Q42_4,Q42_5,Q61,Q1_1,Q1_2,Q1_3,Q30,userid,mTurkCode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"In a real life scenario, what percentage (0-100) amount do you consider to be a standard and fair... - Currency exchange fee?","In a real life scenario, what percentage (0-100) amount do you consider to be a standard and fair... - Brokerage commission fee?","In a real life scenario, what percentage (0-100) amount do you consider to be a standard and fair... - Online service charge?","In a real life scenario, what percentage (0-100) amount do you consider to be a standard and fair... - ATM fee?","Imagine a scenario where you are given a small gift (e.g., $1.00) to share with another person. 
You are asked to split it fairly. If the other person does not agree to the portion that you offer to share, then no one receives anything. 
What percentage (0-100) amount do you share?",Your basic demographic information - Age (years),Your basic demographic information - Occupation,Your basic demographic information - Nationality,What is your gender?,userid,mTurkCode
"{""ImportId"":""startDate""}","{""ImportId"":""endDate""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID49_2""}","{""ImportId"":""QID49_3""}","{""ImportId"":""QID49_4""}","{""ImportId"":""QID49_5""}","{""ImportId"":""QID69_TEXT""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID38""}","{""ImportId"":""userid""}","{""ImportId"":""mTurkCode""}"
2017-08-03 16:01:53,2017-08-03 16:02:22,Survey Preview,,100,29,True,2017-08-03 16:02:23,R_1CpFUe5PhrKkwbq,,,,,46.731292724609,-117.17959594727,preview,EN,1,1,1,1,10,,,,,,9076113
2017-08-03 16:02:55,2017-08-03 16:03:03,Survey Preview,,100,8,True,2017-08-03 16:03:04,R_8vxN07HMxKAKbo5,,,,,46.731292724609,-117.17959594727,preview,EN,1,1,1,1,1,,,,,,7040215
2017-08-03 16:06:24,2017-08-03 16:06:33,Survey Preview Spam,,100,8,True,2017-08-03 16:06:33,R_3k4JDuw78e3vNy5,,,,,46.731292724609,-117.17959594727,preview,EN,1,1,1,1,1,,,,,,1474926
2017-08-03 16:13:29,2017-08-03 16:13:54,IP Address,69.166.45.107,100,25,True,2017-08-03 16:13:54,R_1DZ7aoGdRrT4BI0,,,,,46.731292724609,-117.17959594727,anonymous,EN,1,1,1,1,3,,,,,h94amd4o,3700503
2017-08-03 17:01:46,2017-08-03 17:02:18,IP Address,69.166.45.107,100,31,True,2017-08-03 17:02:18,R_2QRi23eCa6uLSbp,,,,,46.731292724609,-117.17959594727,anonymous,EN,99,99,99,99,99,,,,,8rbl1bp8,5280292
2017-08-16 20:21:59,2017-08-16 20:29:48,IP Address,69.207.52.187,100,469,True,2017-08-16 20:29:49,R_Bumnzbq2YbTRnHz,,,,,43.010894775391,-78.957397460938,anonymous,EN,1,1,0,0,0,35,Debt Collector,USA,Male,4205swqz,8679222
2017-08-16 20:44:11,2017-08-16 20:45:20,IP Address,216.165.255.32,100,69,True,2017-08-16 20:45:20,R_6X7zpwSrzFpkT9T,,,,,34.153900146484,-117.99189758301,anonymous,EN,0.01,4.98,0,0,25,25,student,asian,Male,u29mw80x,6496011
2017-08-16 20:52:42,2017-08-16 20:59:17,IP Address,70.190.74.230,100,394,True,2017-08-16 20:59:17,R_3fVsG41JtFY4BdQ,,,,,33.471603393555,-112.19480133057,anonymous,EN,3,3,2,2,50,27,Paraprofessional,American,Male,hewqo5kk,3726568
