StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q42_2,Q42_3,Q42_4,Q42_5,Q59_1,Q1_1,Q1_2,Q1_3,Q30,Q13,Q7_1,Q7_2,Q8_1,Q8_2,Q54,userid,mTurkCode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"In a real life scenario, what percentage (0-100) amount do you consider to be a standard and fair... - Currency exchange fee?","In a real life scenario, what percentage (0-100) amount do you consider to be a standard and fair... - Brokerage commission fee?","In a real life scenario, what percentage (0-100) amount do you consider to be a standard and fair... - Online service charge?","In a real life scenario, what percentage (0-100) amount do you consider to be a standard and fair... - ATM fee?","In the interaction you just completed, around what amount ($0.00-1.00) did you expect to receive as a payoff? - $",Your basic demographic information - Age (years),Your basic demographic information - Occupation,Your basic demographic information - Nationality,What is your gender?,"In the scenario you were just in, what amount was the bonus that was to be split/shared?",How would you rate the following statement? - I thought the outcome of this experiment was fair,How would you rate the following statement? - Click the strongly agree option before continuing,Please rank your experience level with the following: - Converting types of currency,Please rank your experience level with the following: - International travel,Did you recognize this as a particular economic bargaining game from previous experience? (**Note: your answer will not affect your payment in any way),userid,mTurkCode
"{""ImportId"":""startDate""}","{""ImportId"":""endDate""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID49_2""}","{""ImportId"":""QID49_3""}","{""ImportId"":""QID49_4""}","{""ImportId"":""QID49_5""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID38""}","{""ImportId"":""QID48""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID62""}","{""ImportId"":""userid""}","{""ImportId"":""mTurkCode""}"
2017-07-29 10:58:17,2017-07-29 10:58:30,Survey Preview,,100,13,True,2017-07-29 10:58:31,R_2v7dkXDELBIzEiM,,,,,46.732192993164,-117.24549865723,preview,EN,1,1,1,1,0.39,,,,,$1.50,,,,,,,4548894
2017-07-29 10:58:34,2017-07-29 10:58:55,Survey Preview,,100,20,True,2017-07-29 10:58:56,R_De4VeOvp4Unx5Xb,,,,,46.732192993164,-117.24549865723,preview,EN,1,1,1,1,0.34,,,,,$1.00,Neither agree nor disagree,Neither agree nor disagree,Some experience,Some experience,,,9744666
2017-07-29 10:58:58,2017-07-29 10:59:36,Survey Preview,,100,37,True,2017-07-29 10:59:36,R_tLgPy6d6gAOcSWJ,,,,,46.732192993164,-117.24549865723,preview,EN,1,1,1,1,0.48,,,,,$1.00,Somewhat agree,Strongly agree,Higher than average,Higher than average,No,,8871123
2017-07-29 11:58:52,2017-07-29 11:59:06,IP Address,50.52.104.202,100,13,True,2017-07-29 11:59:06,R_3ELLJoka5gVNuWE,,,,,46.732192993164,-117.24549865723,anonymous,EN,1,11,1,1,0.28,,,,,$1.75,,,,,,fzy5jvke,9386922
2017-07-29 11:55:56,2017-07-29 11:57:12,IP Address,50.52.104.202,63,75,False,2017-08-05 12:05:01,R_3F4etyD4IqGylFN,,,,,,,anonymous,EN,1,1,1,1,0.21,,,,,$1.00,,,,,,5ul91awh,7699375
2017-07-29 11:28:21,2017-07-29 11:28:38,IP Address,50.52.104.202,25,16,False,2017-08-05 12:48:48,R_24zQWX3eRTkwNSG,,,,,,,anonymous,EN,1,1,1,1,0.37,,,,,,,,,,,0de8dv23,7192628
2017-07-29 11:29:34,2017-07-29 11:29:49,IP Address,50.52.104.202,25,15,False,2017-08-05 12:48:58,R_3LclXUyPTCmuuCT,,,,,,,anonymous,EN,1,1,1,1,0.64,,,,,,,,,,,rsa6jtuq,5387029
2017-08-01 10:34:19,2017-08-01 10:34:39,IP Address,69.166.45.107,25,19,False,2017-08-08 10:35:02,R_3R7uhPOqCcyTEB7,,,,,,,anonymous,EN,1,1,1,1,0.01,,,,,,,,,,,vjo6lmjr,2304444
2017-08-03 10:16:24,2017-08-03 10:16:39,IP Address,69.166.45.107,25,15,False,2017-08-10 10:16:42,R_2OOpFHpKmR5QfSR,,,,,,,anonymous,EN,1,1,1,1,0.01,,,,,,,,,,,zx39uckm,9063254
2017-08-03 17:00:00,2017-08-03 17:00:12,IP Address,69.166.45.107,25,12,False,2017-08-10 17:00:17,R_un2Dugk9h2Bi08x,,,,,,,anonymous,EN,1,1,1,1,0.01,,,,,,,,,,,1audh1qw,8104617
