participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.valid_code,player.payoff,group.id_in_subsession,group.amount_offered,group.offer_accepted,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,f2lie4fd,,0,4,10,ultimatum_customer_vignette,1,WaitToStart,10.45.50.47,2017-08-17 01:05:38.679024+00:00,0,1,,,0,1,,0,1,,,1,ffyxe4j6,,,,,,1
2,gmm6gurb,,0,0,10,,,,,,0,0,,,0,2,,0,1,,,1,ffyxe4j6,,,,,,1
1,e03xg6m4,,0,9,10,ultimatum_customer_vignette,1,Results,10.157.148.138,2017-08-17 01:09:02.748621+00:00,0,1,A32QJF67JMJFKX,3U4J9857OFQSYRUWRCBEGHRHI8BB7J,7,2,,7,4,7,1,1,ymybjutu,,,3X878VYTIEXFPO8I6CS9ANMHBAKF7W,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
2,f7e7gigh,,0,9,10,ultimatum_customer_vignette,1,Results,10.169.124.243,2017-08-17 01:09:11.032625+00:00,0,1,ACJTRTT2SO4E0,3WQQ9FUS6B9WY5ZF1H3KUHNCTSHB86,5,2,,5,31,5,1,1,ymybjutu,,,3X878VYTIEXFPO8I6CS9ANMHBAKF7W,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
3,podiwdd7,,0,11,10,ultimatum_customer_vignette,1,Validation,10.230.176.210,2017-08-17 01:09:20.004389+00:00,0,1,A1XYN63I623XUD,36H9ULYP639BV37EXNM72XNBO13JFG,10,2,9616125,10,2,10,1,1,ymybjutu,,,3X878VYTIEXFPO8I6CS9ANMHBAKF7W,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
4,tcnk0k7w,,0,11,10,ultimatum_customer_vignette,1,Validation,10.63.211.204,2017-08-17 01:09:32.773335+00:00,0,1,A283BCKHLF447S,35GMH2SV3FWXQ0YFIPU6SBJXBUYOEM,5,2,786291,5,9,5,1,1,ymybjutu,,,3X878VYTIEXFPO8I6CS9ANMHBAKF7W,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
5,0f1cacgr,,0,11,10,ultimatum_customer_vignette,1,Validation,10.138.121.5,2017-08-17 01:09:35.147486+00:00,0,1,A13V13Y2DJGFT4,3HFNH7HEMITYVQ7M3XCYHJZ93BVGQ3,90,1,10,90,2,10,1,1,ymybjutu,,,3X878VYTIEXFPO8I6CS9ANMHBAKF7W,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
6,m5qjww6s,,0,11,10,ultimatum_customer_vignette,1,Validation,10.65.219.125,2017-08-17 01:09:50.142828+00:00,0,1,A1F3TWJXGO0URG,3IGI0VL648Z1K6BSBOXPIYD6PMZONB,90,1,4541443,90,3,10,1,1,ymybjutu,,,3X878VYTIEXFPO8I6CS9ANMHBAKF7W,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
7,6v9ercbn,,0,3,10,consent_start2_copy,1,Proceed,10.157.112.148,2017-08-17 01:09:52.734652+00:00,0,1,A1B0SWHFLJ4HI,3PJ71Z61R5HVZC0X4CG9O15ERM891A,0,7,,0,1,,,1,ymybjutu,,,3X878VYTIEXFPO8I6CS9ANMHBAKF7W,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
8,1pyuqcdg,,0,11,10,ultimatum_customer_vignette,1,Validation,10.164.78.133,2017-08-17 01:09:56.709501+00:00,0,1,A5CRCV0ZJ72UY,3QXNC7EIPJAVSNFF8TC9AWM4MU2907,93,1,8427014,93,4,7,1,1,ymybjutu,,,3X878VYTIEXFPO8I6CS9ANMHBAKF7W,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
9,m8shiwgu,,0,9,10,ultimatum_customer_vignette,1,Results,10.45.73.26,2017-08-17 01:10:06.098829+00:00,0,1,A1YSYI926BBOHW,3LS2AMNW5G5MN3OKRGP6MS8BUXMOQY,10,2,,10,3,10,1,1,ymybjutu,,,3X878VYTIEXFPO8I6CS9ANMHBAKF7W,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
10,202ds56g,,0,11,10,ultimatum_customer_vignette,1,Validation,10.179.86.73,2017-08-17 01:10:14.279927+00:00,0,1,A7KLTVEIASF4J,3EJPLAJKENV5CPJ7EGMPWLYOE0D6ZL,100,1,1212812,100,5,0,1,1,ymybjutu,,,3X878VYTIEXFPO8I6CS9ANMHBAKF7W,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
11,fxy0ix3u,,0,11,10,ultimatum_customer_vignette,1,Validation,10.41.215.197,2017-08-17 01:10:46.618730+00:00,0,1,A1MLC8HETIE13W,3IX2EGZR7CY8YTCNOIM1JM1URPERJJ,90,1,8926398,90,14,10,1,1,ymybjutu,,,3X878VYTIEXFPO8I6CS9ANMHBAKF7W,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
12,puv9ah2i,,0,3,10,consent_start2_copy,1,Proceed,10.146.95.78,2017-08-17 01:10:46.249557+00:00,0,1,A2C7A6E70NYNUI,3A1COHJ8NKA6PI2119DGGSQAO5MH8S,0,12,,0,1,,,1,ymybjutu,,,3X878VYTIEXFPO8I6CS9ANMHBAKF7W,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
13,fxdtf8wk,,0,9,10,ultimatum_customer_vignette,1,Results,10.71.208.122,2017-08-17 01:11:02.629300+00:00,0,1,A385Z5HO5XER0G,39RP059MEI8BJU1JVID3ZZO7DX6BMU,0,2,,0,5,0,1,1,ymybjutu,,,3X878VYTIEXFPO8I6CS9ANMHBAKF7W,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
14,idlhfmck,,0,9,10,ultimatum_customer_vignette,1,Results,10.180.71.118,2017-08-17 01:11:33.164440+00:00,0,1,A2Z7SWO6HS5OOI,3E7TUJ2EGD1PR7G9K504P36NGJB9D0,0,1,,0,15,0,0,1,ymybjutu,,,3X878VYTIEXFPO8I6CS9ANMHBAKF7W,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
15,pobypx1q,,0,9,10,ultimatum_customer_vignette,1,Results,10.30.24.121,2017-08-17 01:11:48.061560+00:00,0,1,A1CEDP4V25M6G9,3B837J3LDPB1XWVDBCVFBNSHN8RRSZ,0,1,,0,6,50,0,1,ymybjutu,,,3X878VYTIEXFPO8I6CS9ANMHBAKF7W,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
16,wgprc5kz,,0,3,10,consent_start2_copy,1,Proceed,10.109.163.176,2017-08-17 01:12:03.647172+00:00,0,1,A39PKC5DMX5FJN,3XCC1ODXDMQPKGG0J86AGNDG5K6RQA,0,16,,0,1,,,1,ymybjutu,,,3X878VYTIEXFPO8I6CS9ANMHBAKF7W,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
17,d4bsmtzo,,0,11,10,ultimatum_customer_vignette,1,Validation,10.179.109.26,2017-08-17 01:12:23.238340+00:00,0,1,A1QIJ94TJ6FZ2W,3A0EX8ZRN93BDBQXEL1ETUBEM7KBYK,90,1,1607488,90,13,10,1,1,ymybjutu,,,3X878VYTIEXFPO8I6CS9ANMHBAKF7W,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
18,pnvop53k,,0,3,10,consent_start2_copy,1,Proceed,10.155.8.85,2017-08-17 01:12:39.952083+00:00,0,1,A1PDJEO7XOY2P5,3AAPLD8UCDWPN2UP47OB7OMX2I7THT,0,18,,0,1,,,1,ymybjutu,,,3X878VYTIEXFPO8I6CS9ANMHBAKF7W,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
19,mw4t42mi,,0,9,10,ultimatum_customer_vignette,1,Results,10.171.119.12,2017-08-17 01:13:01.213373+00:00,0,1,AHEJHFN0VV6E3,3GNCZX450J2CLNT4HK5ZLSYW0KWPA9,0,2,,0,6,50,0,1,ymybjutu,,,3X878VYTIEXFPO8I6CS9ANMHBAKF7W,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
20,wsx0obsr,,0,3,10,consent_start2_copy,1,Proceed,10.236.12.50,2017-08-17 01:13:58.666788+00:00,0,1,ASH9UB9F5TNHY,3FE2ERCCZYN1NRN5R3AHMNI1P10PO8,0,20,,0,1,,,1,ymybjutu,,,3X878VYTIEXFPO8I6CS9ANMHBAKF7W,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
21,xz08owv4,,0,11,10,ultimatum_customer_vignette,1,Validation,10.81.229.55,2017-08-17 01:14:16.263946+00:00,0,1,A2Z596CRYWL6XC,3VELCLL3GLY40MRA7YG1YXRPUK3F18,0,1,8622794,0,8,100,0,1,ymybjutu,,,3X878VYTIEXFPO8I6CS9ANMHBAKF7W,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
22,oeme9qhf,,0,9,10,ultimatum_customer_vignette,1,Results,10.71.208.122,2017-08-17 01:14:18.650974+00:00,0,1,A2CXEAMWU2SFV3,3U4J9857OFQSYRUWRCBEGHRHI8BB7J,0,1,,0,7,0,0,1,ymybjutu,,,3X878VYTIEXFPO8I6CS9ANMHBAKF7W,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
23,39luywjx,,0,11,10,ultimatum_customer_vignette,1,Validation,10.158.160.96,2017-08-17 01:14:22.837760+00:00,0,1,AGK30V341UN88,3A1COHJ8NKA6PI2119DGGSQAO5MH8S,0,2,1736531,0,8,100,0,1,ymybjutu,,,3X878VYTIEXFPO8I6CS9ANMHBAKF7W,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
24,z2y0qxeu,,0,9,10,ultimatum_customer_vignette,1,Results,10.150.98.212,2017-08-17 01:14:43.069084+00:00,0,1,A31JM9RECQGYEX,3VHP9MDGROZONP18NV5LFTAGYHUCFV,0,2,,0,7,0,0,1,ymybjutu,,,3X878VYTIEXFPO8I6CS9ANMHBAKF7W,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
25,74ei66ew,,0,11,10,ultimatum_customer_vignette,1,Validation,10.45.50.47,2017-08-17 01:14:43.286240+00:00,0,1,AFWW5DZS9GI7C,34YB12FSQZ37AB9UB45H0AF4TAYMGM,95,1,8134175,95,9,5,1,1,ymybjutu,,,3X878VYTIEXFPO8I6CS9ANMHBAKF7W,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
26,sw1u86jr,,0,9,10,ultimatum_customer_vignette,1,Results,10.152.65.114,2017-08-17 01:14:56.469291+00:00,0,1,AROOCBM042SJD,3J88R45B2HDOH01XSUXD509U155PXD,75,1,,75,22,25,1,1,ymybjutu,,,3X878VYTIEXFPO8I6CS9ANMHBAKF7W,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
27,em3gtsxj,,0,3,10,consent_start2_copy,1,Proceed,10.45.224.229,2017-08-17 01:15:14.126236+00:00,0,1,A2DDXYTEVDV5F5,3QFUFYSY9ZULSLOTUGZ3WVYS64DF4L,0,27,,0,1,,,1,ymybjutu,,,3X878VYTIEXFPO8I6CS9ANMHBAKF7W,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
