participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.valid_code,player.payoff,group.id_in_subsession,group.amount_offered,group.offer_accepted,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,3fdy8hve,,0,9,9,ultimatum_t1,1,Validation,10.63.30.96,2017-08-17 23:46:36.449793+00:00,0,1,,,0.00,1,,0.00,2,0.99,0,1,uhntt31b,,,,,,1
2,9th0578r,,0,9,9,ultimatum_t1,1,Validation,10.63.30.96,2017-08-17 23:47:00.732214+00:00,0,1,,,0.00,2,,0.00,2,0.99,0,1,uhntt31b,,,,,,1
1,ldtye5q2,,0,3,9,ultimatum_t1,1,WaitToStart,10.63.30.96,2017-08-17 23:49:23.816340+00:00,0,1,,,0.00,1,,0.00,1,,,1,hbj18ji7,,,,,,1
2,q2pv6qcp,,0,0,9,,,,,,0,0,,,0.00,2,,0.00,1,,,1,hbj18ji7,,,,,,1
1,y783iimt,,0,8,9,ultimatum_t1,1,Results,10.157.160.84,2017-08-17 23:56:47.469104+00:00,0,1,,,0.00,1,,0.00,2,0.00,0,1,1xlykfel,,,,,,1
2,dzmw8zsf,,0,8,9,ultimatum_t1,1,Results,10.157.160.84,2017-08-17 23:57:00.696942+00:00,0,1,,,0.00,2,,0.00,2,0.00,0,1,1xlykfel,,,,,,1
1,pw44vr85,,0,10,9,ultimatum_t1,1,Validation,10.179.55.98,2017-08-17 23:58:44.791386+00:00,0,1,A22ABLVEI5EGPL,3U4J9857OFQSYRUWRCBEGHRHIAV7B3,0.50,1,6882573,0.50,3,0.50,1,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
2,yfo7tm5t,,0,10,9,ultimatum_t1,1,Validation,10.41.203.70,2017-08-17 23:58:54.893699+00:00,0,1,A320DPHQDR4HMQ,3PB5A5BD0WLOP8277Y3SHSIEYNN7GK,0.50,1,545964,0.50,2,0.50,1,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
3,u2tgfy5m,,0,10,9,ultimatum_t1,1,Validation,10.79.219.198,2017-08-17 23:59:00.384291+00:00,0,1,A3DJE1PIZFZNHP,38F5OAUN5OR2P4XIR4LA2SUFDN07HJ,0.00,2,555642,0.00,15,0.00,0,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
4,x681qu0x,,0,10,9,ultimatum_t1,1,Validation,10.229.95.34,2017-08-17 23:59:09.348322+00:00,0,1,A29MHT3WIY384W,3TVRFO09GLUYQFMZ0246OJ0AWXNXLA,0.50,2,5821647,0.50,2,0.50,1,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
5,bfw3o7va,,0,10,9,ultimatum_t1,1,Validation,10.16.218.184,2017-08-17 23:59:09.459655+00:00,0,1,A20ALQT1HIVSAH,3MAOD8E57RPOEFPKCFKL1B4Z1SNXNC,0.50,2,6807217,0.50,3,0.50,1,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
6,ajsgfz60,,0,10,9,ultimatum_t1,1,Validation,10.169.197.46,2017-08-17 23:59:10.202601+00:00,0,1,AY52II1OC5RZ1,3JNQLM5FT51XPZJ2CDJDYT6EJON2L5,0.50,2,4083247,0.50,5,0.50,1,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
7,b5hmb0yk,,0,8,9,ultimatum_t1,1,Results,10.141.27.204,2017-08-17 23:59:11.240403+00:00,0,1,A3CBOZUTFR0NR7,3DH6GAKTYZ47V9TDKZHHFCIHDCPZY1,0.00,1,,0.00,11,1.00,1,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
8,md6immh8,,0,10,9,ultimatum_t1,1,Validation,10.63.100.77,2017-08-17 23:59:10.863474+00:00,0,1,A1F1OZ54G177D8,3H0W84IWBLH0NDQVAHBAM6O2MJ2ER9,0.25,2,8515978,0.25,4,0.25,1,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
9,c7xb3pop,,0,10,9,ultimatum_t1,1,Validation,10.63.100.174,2017-08-17 23:59:16.442210+00:00,0,1,A1BAPMRIU7SGSP,3U5JL4WY5LO2S7FEUA5P22YZABT4XP,0.50,1,371118,0.50,5,0.50,1,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
10,agku1j95,,0,10,9,ultimatum_t1,1,Validation,10.169.197.46,2017-08-17 23:59:27.725554+00:00,0,1,A2YFTTVAH9AFXU,39N5ACM9HF2YG4JZPERZPXNCU4Y9P2,0.75,1,74378,0.75,4,0.25,1,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
